Training Start Time: 2024-06-26 20:58:06.941044
Config: {'neurons': [16, 8], 'batch_size': 10, 'val_split': 0.2}, MAE: 0.002753634399209917
New best model saved with MAE: 0.002753634399209917 at best_model.h5
Config: {'neurons': [18, 10], 'batch_size': 19, 'val_split': 0.06662975682905978}, MAE: 0.013039027652448116
Config: {'neurons': [20, 12], 'batch_size': 13, 'val_split': 0.07680763680176984}, MAE: 0.0006749505232683435
New best model saved with MAE: 0.0006749505232683435 at best_model.h5
Config: {'neurons': [22, 14], 'batch_size': 15, 'val_split': 0.14800120205805112}, MAE: 0.0025519955401389063
Config: {'neurons': [24, 16], 'batch_size': 13, 'val_split': 0.049814062089126365}, MAE: 0.0008367694162940325
Config: {'neurons': [26, 18], 'batch_size': 31, 'val_split': 0.047509639407377124}, MAE: 0.0012947049518135022
Config: {'neurons': [28, 20], 'batch_size': 21, 'val_split': 0.09370175449464503}, MAE: 0.0049084202680566265
Config: {'neurons': [30, 22], 'batch_size': 25, 'val_split': 0.11024374439085567}, MAE: 0.0033912607487490316
Config: {'neurons': [32, 24], 'batch_size': 13, 'val_split': 0.19922494955809258}, MAE: 0.0005711507479234105
New best model saved with MAE: 0.0005711507479234105 at best_model.h5
Config: {'neurons': [34, 26], 'batch_size': 17, 'val_split': 0.12835606877844086}, MAE: 0.004336454345913376
Config: {'neurons': [36, 28], 'batch_size': 30, 'val_split': 0.16836609605864522}, MAE: 0.0021894497599491544
Config: {'neurons': [38, 30], 'batch_size': 10, 'val_split': 0.05004556830433013}, MAE: 0.0005867095539976659
Config: {'neurons': [40, 32], 'batch_size': 22, 'val_split': 0.06575002339959574}, MAE: 0.00014435519003144962
New best model saved with MAE: 0.00012719572858470315 at best_model.h5
Config: {'neurons': [42, 34], 'batch_size': 22, 'val_split': 0.19366484431771014}, MAE: 0.005124297916317406
Config: {'neurons': [44, 36], 'batch_size': 25, 'val_split': 0.19692426607569843}, MAE: 0.0004905208322817067
New best model saved with MAE: 0.00012679456563969828 at best_model.h5
Config: {'neurons': [46, 38], 'batch_size': 18, 'val_split': 0.047031353893260186}, MAE: 0.002583141199106059
Config: {'neurons': [48, 40], 'batch_size': 13, 'val_split': 0.14935013890869478}, MAE: 0.001283019296564735
Config: {'neurons': [50, 42], 'batch_size': 17, 'val_split': 0.05939765203592798}, MAE: 0.0007990414225338989
Config: {'neurons': [52, 44], 'batch_size': 17, 'val_split': 0.08016682917640107}, MAE: 0.0029774246690376866
Config: {'neurons': [54, 46], 'batch_size': 16, 'val_split': 0.08274042014954193}, MAE: 0.001649493097378687
Config: {'neurons': [56, 48], 'batch_size': 18, 'val_split': 0.11886746025828719}, MAE: 0.00017354834333060257
Config: {'neurons': [58, 50], 'batch_size': 18, 'val_split': 0.010953993745168339}, MAE: 0.002196566627696067
Config: {'neurons': [60, 52], 'batch_size': 10, 'val_split': 0.11654867658072071}, MAE: 0.0024385089989489334
Config: {'neurons': [62, 54], 'batch_size': 16, 'val_split': 0.05026049529966958}, MAE: 0.0001975268039083312
Config: {'neurons': [64, 56], 'batch_size': 10, 'val_split': 0.10761994630526048}, MAE: 0.0006969885019056881
Config: {'neurons': [66, 58], 'batch_size': 33, 'val_split': 0.10607829522484984}, MAE: 0.003503569955831422
Config: {'neurons': [68, 60], 'batch_size': 14, 'val_split': 0.1500704478923521}, MAE: 0.0012551556217989918
Config: {'neurons': [70, 62], 'batch_size': 30, 'val_split': 0.14277463736146875}, MAE: 0.0005031325628605831
Config: {'neurons': [72, 64], 'batch_size': 24, 'val_split': 0.059972824382216156}, MAE: 0.0010132340687556778
Config: {'neurons': [74, 66], 'batch_size': 21, 'val_split': 0.15397829349148917}, MAE: 0.00020641724048362731
Config: {'neurons': [76, 68], 'batch_size': 16, 'val_split': 0.10859839568724965}, MAE: 0.0018988064240729897
Config: {'neurons': [78, 70], 'batch_size': 23, 'val_split': 0.06002752453450533}, MAE: 0.0022378531112325975
Config: {'neurons': [80, 72], 'batch_size': 15, 'val_split': 0.17497200847074917}, MAE: 0.00027764559314632717
Config: {'neurons': [82, 74], 'batch_size': 20, 'val_split': 0.04856989915259549}, MAE: 0.0022950053180741917
Config: {'neurons': [84, 76], 'batch_size': 19, 'val_split': 0.07823211962448395}, MAE: 0.0019477275859670726
Config: {'neurons': [86, 78], 'batch_size': 17, 'val_split': 0.09766219762602121}, MAE: 0.0004828578055823422
New best model saved with MAE: 0.00011978322215319208 at best_model.h5
